STATE_NAME,STATE,DATE,CASE_TYPE,DEMO_GROUP,CASES
Nebraska,31,2021-03-08,Partial,CASES_UnknownGender,1.4841758626945156
Ohio,39,2021-03-08,Partial,CASES_UnknownGender,2.082110175652784
Oregon,41,2021-03-08,Partial,CASES_UnknownGender,0.46551000459171743
Pennsylvania,42,2021-03-08,Partial,CASES_UnknownGender,3.355738218225756
Rhode Island,44,2021-03-08,Partial,CASES_UnknownGender,0.08177969725476782
South Dakota,46,2021-03-08,Partial,CASES_UnknownGender,3.524255705002267
Utah,49,2021-03-08,Partial,CASES_UnknownGender,100.0
Virginia,51,2021-03-08,Partial,CASES_UnknownGender,10.048438942462766
Washington,53,2021-03-08,Partial,CASES_UnknownGender,100.0
Connecticut,9,2021-03-08,Complete,CASES_UnknownGender,0.07507268137009093
District of Columbia,11,2021-03-08,Complete,CASES_UnknownGender,0.3638465723612622
Florida,12,2021-03-08,Complete,CASES_UnknownGender,0.11681725872431667
Illinois,17,2021-03-08,Complete,CASES_UnknownGender,0.9354611935169121
Maine,23,2021-03-08,Complete,CASES_UnknownGender,0.5680958472606226
Maryland,24,2021-03-08,Complete,CASES_UnknownGender,0.32810203056664505
Massachusetts,25,2021-03-08,Complete,CASES_UnknownGender,2.1813214979724678
Minnesota,27,2021-03-08,Complete,CASES_UnknownGender,0.0
Mississippi,28,2021-03-08,Complete,CASES_UnknownGender,100.0
Nebraska,31,2021-03-08,Complete,CASES_UnknownGender,2.5919245178298875
Ohio,39,2021-03-08,Complete,CASES_UnknownGender,1.9015653713665008
Pennsylvania,42,2021-03-08,Complete,CASES_UnknownGender,3.9824960922606603
Rhode Island,44,2021-03-08,Complete,CASES_UnknownGender,100.0
Virginia,51,2021-03-08,Complete,CASES_UnknownGender,10.761810160451734
Washington,53,2021-03-08,Complete,CASES_UnknownGender,100.0
West Virginia,54,2021-03-08,Complete,CASES_UnknownGender,0.2629439501986017
California,6,2021-03-08,Partial,CASES_UnknownGender,100.0
Colorado,8,2021-03-08,Partial,CASES_UnknownGender,0.28999999999998904
Indiana,18,2021-03-08,Partial,CASES_UnknownGender,36.20000000000001
Louisiana,22,2021-03-08,Partial,CASES_UnknownGender,36.22999999999999
North Carolina,37,2021-03-08,Partial,CASES_UnknownGender,0.849999999999993
West Virginia,54,2021-03-08,Partial,CASES_UnknownGender,100.0
Indiana,18,2021-03-08,Complete,CASES_UnknownGender,0.09999999999999347
North Carolina,37,2021-03-08,Complete,CASES_UnknownGender,0.7200000000000071
Delaware,10,2021-03-08 00:00:00,Partial,CASES_UnknownGender,0.05439116805033388
Texas,48,2021-03-08,Partial,CASES_UnknownGender,1.5282594794572497
Texas,48,2021-03-08,Complete,CASES_UnknownGender,1.121801966452859
Tennessee,47,2021-03-08 00:00:00,Complete,CASES_UnknownGender,982.0
Tennessee,47,2021-03-08 00:00:00,Partial,CASES_UnknownGender,1833.0
Alabama,1,2021-03-08,Complete Coverage,CASES_UnknownGender,100.0
Alaska,2,2021-03-08,Complete Coverage,CASES_UnknownGender,100.0
Arizona,4,2021-03-08,Complete Coverage,CASES_UnknownGender,100.0
Georgia,13,2021-03-08,Complete Coverage,CASES_UnknownGender,100.0
Idaho,16,2021-03-08,Complete Coverage,CASES_UnknownGender,100.0
Kansas,20,2021-03-08,Complete Coverage,CASES_UnknownGender,100.0
Kentucky,21,2021-03-08,Complete Coverage,CASES_UnknownGender,100.0
Oregon,41,2021-03-08,Complete Coverage,CASES_UnknownGender,100.0
South Dakota,46,2021-03-08,Complete Coverage,CASES_UnknownGender,100.0
Utah,49,2021-03-08,Complete Coverage,CASES_UnknownGender,100.0
California,6,2021-03-08,Complete Coverage,CASES_UnknownGender,100.0
Colorado,8,2021-03-08,Complete Coverage,CASES_UnknownGender,100.0
Louisiana,22,2021-03-08,Complete Coverage,CASES_UnknownGender,100.0
Delaware,10,2021-03-08 00:00:00,Complete Coverage,CASES_UnknownGender,100.0
Missouri,29,2021-03-08,Complete Coverage,CASES_UnknownGender,100.0
Vermont,50,2021-03-08,Complete Coverage,CASES_UnknownGender,100.0
Alabama,1,2021-03-08,Partial Coverage,CASES_White,10.697746737176772
Alaska,2,2021-03-08,Partial Coverage,CASES_White,8.188687464397011
Arizona,4,2021-03-08,Partial Coverage,CASES_White,10.96116001451415
District of Columbia,11,2021-03-08,Partial Coverage,CASES_White,2.1714148394391537
Florida,12,2021-03-08,Partial Coverage,CASES_White,6.001123550013158
